price,city,address,property_size,property_type,amenities,listing_url,page
511148.0,Paris,75014 Paris,570.0,Condo/Apartment,,https://www.properstar.com/listing/105457979,
2338232.0,Paris,75017 Paris,2185.0,Condo/Apartment,"Garden,Intercom,Lift",https://www.properstar.com/listing/105429510,
538337.0,Paris,75015 Paris,495.0,Condo/Apartment,"Intercom,Lift,Balcony",https://www.properstar.com/listing/102903345,
1011421.0,Paris,Paris,743.0,Condo/Apartment,Internet,https://www.properstar.com/listing/104425700,
891791.0,Paris,75015 Paris,775.0,Condo/Apartment,"Intercom,Internet,Lift,Balcony,Parking",https://www.properstar.com/listing/99032512,
3806425.0,Paris,75016 Paris,2034.0,Condo/Apartment,"Intercom,Lift",https://www.properstar.com/listing/102873837,
4127252.0,Paris,75006 Paris,1938.0,Condo/Apartment,Lift,https://www.properstar.com/listing/103424724,
179446.0,Paris,75016 Paris,161.0,Condo/Apartment,,https://www.properstar.com/listing/104173718,
1344212.0,Paris,75008 Paris,624.0,Condo/Apartment,Lift,https://www.properstar.com/listing/102924736,
266450.0,Paris,75017 Paris,194.0,Condo/Apartment,Lift,https://www.properstar.com/listing/102871249,
1680265.0,Paris,75016 Paris,1087.0,Condo/Apartment,Lift,https://www.properstar.com/listing/102924735,
4622087.0,Paris,75016 Paris,3143.0,Condo/Apartment,"Air conditioning,Intercom,Lift,Balcony",https://www.properstar.com/listing/103310187,
2887445.0,Paris,75007 Paris,1076.0,Condo/Apartment,"Intercom,Lift,Air conditioning,Terrace",https://www.properstar.com/listing/97958316,
17400799.0,Paris,75016 Paris,6727.0,Mansion house,"Lift,Parking,Alarm,Fitness centre,Hot tub,Sauna,Swimming pool",https://www.properstar.com/listing/102924734,
967919.0,Paris,75116 Paris,721.0,Condo/Apartment,Lift,https://www.properstar.com/listing/102871247,
4622087.0,Paris,75016 Paris,3143.0,Condo/Apartment,"Air conditioning,Intercom,Lift,Balcony",https://www.properstar.com/listing/103310186,
