price,city,address,property_size,property_type,amenities,listing_url,page
1957590.0,Madrid,28001 Madrid,1195.0,Condo/Apartment,"Air conditioning,Furnished,Internet,Lift,Dishwasher,Terrace,Washing machine,Wine cellar",https://www.properstar.com/listing/105470421,
222948.0,Madrid,Madrid,700.0,Loft,"Air conditioning,Lift,Furnished,Garage",https://www.properstar.com/listing/105034654,
271670.0,Madrid,28014 Madrid,355.0,Condo/Apartment,"Air conditioning,Lift",https://www.properstar.com/listing/104926721,
694944.0,Madrid,28029 Madrid,1184.0,House,,https://www.properstar.com/listing/104600274,
6193597.0,Madrid,28001 Madrid,3477.0,Condo/Apartment,"24/7 concierge,Air conditioning,Furnished,Lift",https://www.properstar.com/listing/103128213,
2164224.0,Madrid,28010 Madrid,1690.0,Condo/Apartment,"Air conditioning,Furnished,Lift",https://www.properstar.com/listing/105410985,
2278417.0,Madrid,28004 Madrid,1550.0,Condo/Apartment,"Air conditioning,Balcony,Furnished,Intercom,Lift",https://www.properstar.com/listing/103128175,
2338232.0,Madrid,28010 Madrid,1539.0,Condo/Apartment,"Air conditioning,Intercom,Lift,Terrace",https://www.properstar.com/listing/105379593,
152148.0,Madrid,Madrid,323.0,Condo/Apartment,"Air conditioning,Terrace,Dishwasher,Lift",https://www.properstar.com/listing/98128573,
2174012.0,Madrid,28006 Madrid,1668.0,Condo/Apartment,"Air conditioning,Furnished,Lift,Terrace",https://www.properstar.com/listing/105317696,
3480160.0,Madrid,28006 Madrid,1076.0,House,,https://www.properstar.com/listing/105289773,
428277.0,Madrid,28022 Madrid,980.0,Condo/Apartment,"Air conditioning,Lift,Terrace",https://www.properstar.com/listing/104303469,
2555742.0,Madrid,28001 Madrid,1970.0,Condo/Apartment,"Air conditioning,Lift",https://www.properstar.com/listing/105200295,
368679.0,Madrid,Madrid,431.0,Condo/Apartment,,https://www.properstar.com/listing/105316332,
277216.0,Madrid,28022 Madrid,517.0,Condo/Apartment,"Balcony,Lift,Terrace",https://www.properstar.com/listing/105175059,
2392610.0,Madrid,28009 Madrid,1528.0,Condo/Apartment,"Air conditioning,Furnished,Lift,Terrace",https://www.properstar.com/listing/103127968,
529637.0,Madrid,28028 Madrid,990.0,Condo/Apartment,"Air conditioning,Garden,Lift,Terrace,Garage",https://www.properstar.com/listing/105285570,
868952.0,Madrid,28004 Madrid,710.0,Condo/Apartment,"Air conditioning,Furnished,Lift,Balcony",https://www.properstar.com/listing/105285066,
1794457.0,Madrid,Madrid,1894.0,Condo/Apartment,"Air conditioning,Furnished,Internet,Lift,Terrace",https://www.properstar.com/listing/105193873,
